"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","","1","0","POST /books - Invalid 'published_year' value","0"
"0","Bookstore API Tests","1","Update Book API Tests","0","0","PUT /books/{id} - Invalid Authorization token","0"
"0","Bookstore API Tests","0","Health Endpoint Validations","1","0","GET /health - Success","0"
"0","Bookstore API Tests","1","Update Book API Tests","0","0","PUT /books/{id} - Update a book entry","0"
"0","Bookstore API Tests","0","Update Book API Tests","1","0","PUT /books/{id} - Invalid book ID","0"
"0","","0","","1","0","DELETE /books/:book_id - Unauthorized access","0"
"0","","0","","1","0","POST /books - Missing required field 'name'","0"
"0","","0","","1","0","POST /books - Empty request payload","0"
"0","","1","","0","0","POST /signup - Short Password","0"
"0","Bookstore API Tests","0","Get Book By ID","1","0","GET /books/{id} - Positive","0"
"0","","0","","1","0","POST /signup - Duplicate Email","0"
"0","Bookstore API Tests","0","Get Book By ID","1","0","GET /books/{id} - Invalid ID","0"
"0","","0","","1","0","POST /books - Create a new book entry","0"
"0","Bookstore API Tests","1","Get Book By ID","0","0","GET /books/{id} - Non-numeric ID","0"
"0","","1","","0","0","POST /signup - Empty Payload","0"
"0","Bookstore API Tests","0","Get All Books","1","0","GET /books - Invalid token access","0"
"0","","0","","1","0","POST /signup - Success with complex password","0"
"0","","0","","1","0","POST /books - Duplicate 'id' value","0"
"0","Bookstore API Tests","0","Health Endpoint Validations","1","0","GET /health - JSON Schema","0"
"0","Bookstore API Tests","0","Health Endpoint Validations","1","0","GET /health - Status Value","0"
"0","Bookstore API Tests","1","Update Book API Tests","0","0","PUT /books/{id} - No Authorization token","0"
"0","Bookstore API Tests","0","Get All Books","1","0","GET /books - Fetch all available books","0"
"0","","1","","0","0","POST /signup - Missing Email","0"
"0","Bookstore API Tests","0","Get All Books","1","0","GET /invalid - Wrong endpoint test","0"
"0","Bookstore API Tests","0","Health Endpoint Validations","1","0","POST /health - Not Allowed","0"
"0","","1","","0","0","POST /signup - Empty Password","0"
"0","","1","","0","0","POST /signup - Missing Password","0"
"0","Bookstore API Tests","0","Health Endpoint Validations","1","0","GET /healthz - Invalid Endpoint","0"
"0","","0","","1","0","DELETE /books/:book_id - Invalid ID","0"
"0","Bookstore API Tests","1","Update Book API Tests","0","0","PUT /books/{id} - Missing required field","0"
"0","","0","","1","0","POST /signup - Success","0"
"0","","0","","1","0","POST /signup - Very Long Email","0"
"0","","0","","1","0","POST /signup - Empty Email","0"
"0","Bookstore API Tests","1","Get Book By ID","0","0","GET /books/{id} - Missing token","0"
"0","Bookstore API Tests","0","Get All Books","1","0","GET /books - Validate book fields","0"
"0","","0","","1","0","DELETE /books/:book_id - Delete an existing book","0"
"0","","0","","1","0","POST /signup - Invalid Email Format","0"
"0","","1","","0","0","POST /signup - Null Password","0"
"0","Bookstore API Tests","0","Get All Books","1","0","GET /books - Unauthorized access","0"
"0","","0","","1","0","POST /signup - Email With Spaces","0"
